Numbered_Words,Matched_Words
999sr,isr
120q,iq
056q,iq
120q,iq
056q,iq
302k,ik
302k,ik
999kt,ikt
302k,ik
100k131,iki
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
312tt,itt
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
312tt,itt
076t,it
312t,it
302t,it
999t,it
076t,it
312t,it
302t,it
999t,it
012t999,iti
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
302d,id
131d,id
188d,id
k305,ka
k056,ka
k305,ka
k056,ka
k999t,kat
k305,ka
k056,ka
k999999,kai
k999574,kai
k305,ki
k056,ki
k305,ka
k056,ka
k305,ka
k056,ka
k305,ka
k056,ka
k305,ka
k056,ka
k999t,kat
k999t,kat
k305,ka
k056,ka
k305,ka
k056,ka
k305,ka
k056,ka
k999999,kai
k999574,kai
k999t,kat
k999t,kat
k999999,kaa
k999574,kaa
k999999,kai
k999574,kai
k999999,kai
k999574,kai
k999999,kai
k999574,kai
k056ry,kary
k056ry,kary
k305,ki
k056,ki
k305,ki
k056,ki
k999t,kit
k999999,kia
k999574,kia
k056ry,kiry
k305,ki
k056,ki
k305,ki
k056,ki
k305,ki
k056,ki
k305,ki
k056,ki
k305,ki
k056,ki
w312,wi
w999,wi
w362,wi
w312,wi
w999,wi
w362,wi
w312,wi
w999,wi
w362,wi
w312,wi
w999,wi
w362,wi
w312,wi
w999,wi
w362,wi
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
w312,wa
w999,wa
w362,wa
y021,ya
y345,ya
